Notes,County,County Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,Drug-induced causes,D,61,609875,10
,"Autauga County, AL",1001,Alcohol-induced causes,A,33,609875,5.4
,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O,5629,609875,923
,"Baldwin County, AL",1003,Drug-induced causes,D,377,2250866,16.7
,"Baldwin County, AL",1003,Alcohol-induced causes,A,237,2250866,10.5
,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O,22348,2250866,992.9
,"Barbour County, AL",1005,Drug-induced causes,D,17,287620,Unreliable
,"Barbour County, AL",1005,Alcohol-induced causes,A,14,287620,Unreliable
,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O,3294,287620,1145.3
,"Bibb County, AL",1007,Drug-induced causes,D,47,248120,18.9
,"Bibb County, AL",1007,Alcohol-induced causes,A,Suppressed,248120,Suppressed
,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O,2732,248120,1101.1
,"Blount County, AL",1009,Drug-induced causes,D,140,635351,22
,"Blount County, AL",1009,Alcohol-induced causes,A,48,635351,7.6
,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O,6989,635351,1100
,"Bullock County, AL",1011,Drug-induced causes,D,12,114915,Unreliable
,"Bullock County, AL",1011,Alcohol-induced causes,A,Suppressed,114915,Suppressed
,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O,1327,114915,1154.8
,"Butler County, AL",1013,Drug-induced causes,D,23,221074,10.4
,"Butler County, AL",1013,Alcohol-induced causes,A,Suppressed,221074,Suppressed
,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O,2956,221074,1337.1
,"Calhoun County, AL",1015,Drug-induced causes,D,212,1272627,16.7
,"Calhoun County, AL",1015,Alcohol-induced causes,A,80,1272627,6.3
,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O,15812,1272627,1242.5
,"Chambers County, AL",1017,Drug-induced causes,D,39,371869,10.5
,"Chambers County, AL",1017,Alcohol-induced causes,A,37,371869,9.9
,"Chambers County, AL",1017,All other non-drug and non-alcohol causes,O,4981,371869,1339.5
,"Cherokee County, AL",1019,Drug-induced causes,D,56,286270,19.6
,"Cherokee County, AL",1019,Alcohol-induced causes,A,26,286270,9.1
,"Cherokee County, AL",1019,All other non-drug and non-alcohol causes,O,3802,286270,1328.1
,"Chilton County, AL",1021,Drug-induced causes,D,78,484168,16.1
,"Chilton County, AL",1021,Alcohol-induced causes,A,43,484168,8.9
,"Chilton County, AL",1021,All other non-drug and non-alcohol causes,O,5422,484168,1119.9
,"Choctaw County, AL",1023,Drug-induced causes,D,Suppressed,144806,Suppressed
,"Choctaw County, AL",1023,Alcohol-induced causes,A,Suppressed,144806,Suppressed
,"Choctaw County, AL",1023,All other non-drug and non-alcohol causes,O,1930,144806,1332.8
,"Clarke County, AL",1025,Drug-induced causes,D,26,270824,9.6
,"Clarke County, AL",1025,Alcohol-induced causes,A,16,270824,Unreliable
,"Clarke County, AL",1025,All other non-drug and non-alcohol causes,O,3394,270824,1253.2
,"Clay County, AL",1027,Drug-induced causes,D,15,148303,Unreliable
,"Clay County, AL",1027,Alcohol-induced causes,A,18,148303,Unreliable
,"Clay County, AL",1027,All other non-drug and non-alcohol causes,O,2050,148303,1382.3
,"Cleburne County, AL",1029,Drug-induced causes,D,21,164419,12.8
,"Cleburne County, AL",1029,Alcohol-induced causes,A,Suppressed,164419,Suppressed
