Notes,County,County Code,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,32,609875,5.2
,"Autauga County, AL",1001,"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",GR113-128,22,609875,3.6
,"Autauga County, AL",1001,"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)",GR113-129,10,609875,Unreliable
,"Baldwin County, AL",1003,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,68,2250866,3
,"Baldwin County, AL",1003,"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",GR113-128,49,2250866,2.2
,"Baldwin County, AL",1003,"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)",GR113-129,19,2250866,Unreliable
,"Barbour County, AL",1005,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,29,287620,10.1
,"Barbour County, AL",1005,"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",GR113-128,21,287620,7.3
,"Barbour County, AL",1005,"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)",GR113-129,Suppressed,287620,Suppressed
,"Bibb County, AL",1007,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,21,248120,8.5
,"Bibb County, AL",1007,"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",GR113-128,17,248120,Unreliable
,"Bibb County, AL",1007,"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)",GR113-129,Suppressed,248120,Suppressed
,"Blount County, AL",1009,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,38,635351,6
,"Blount County, AL",1009,"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",GR113-128,28,635351,4.4
