Notes,County,County Code,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,All,GR113-124,115,609875,18.9
,"Autauga County, AL",1001,Firearms,GR113-125,78,609875,12.8
,"Autauga County, AL",1001,Other,GR113-126,37,609875,6.1
,"Baldwin County, AL",1003,All,GR113-124,444,2250866,19.7
,"Baldwin County, AL",1003,Firearms,GR113-125,281,2250866,12.5
,"Baldwin County, AL",1003,Other,GR113-126,163,2250866,7.2
,"Barbour County, AL",1005,All,GR113-124,41,287620,14.3
,"Barbour County, AL",1005,Firearms,GR113-125,30,287620,10.4
,"Barbour County, AL",1005,Other,GR113-126,11,287620,Unreliable
,"Bibb County, AL",1007,All,GR113-124,38,248120,15.3
,"Bibb County, AL",1007,Firearms,GR113-125,29,248120,11.7
,"Bibb County, AL",1007,Other,GR113-126,Suppressed,248120,Suppressed
,"Blount County, AL",1009,All,GR113-124,122,635351,19.2
,"Blount County, AL",1009,Firearms,GR113-125,83,635351,13.1
,"Blount County, AL",1009,Other,GR113-126,39,635351,6.1
,"Bullock County, AL",1011,All,GR113-124,11,114915,Unreliable
,"Bullock County, AL",1011,Firearms,GR113-125,Suppressed,114915,Suppressed
,"Bullock County, AL",1011,Other,GR113-126,Suppressed,114915,Suppressed
,"Butler County, AL",1013,All,GR113-124,33,221074,14.9
,"Butler County, AL",1013,Firearms,GR113-125,25,221074,11.3
,"Butler County, AL",1013,Other,GR113-126,Suppressed,221074,Suppressed
,"Calhoun County, AL",1015,All,GR113-124,238,1272627,18.7
,"Calhoun County, AL",1015,Firearms,GR113-125,178,1272627,14
,"Calhoun County, AL",1015,Other,GR113-126,60,1272627,4.7
,"Chambers County, AL",1017,All,GR113-124,76,371869,20.4
,"Chambers County, AL",1017,Firearms,GR113-125,56,371869,15.1
,"Chambers County, AL",1017,Other,GR113-126,20,371869,5.4
,"Cherokee County, AL",1019,All,GR113-124,63,286270,22
,"Cherokee County, AL",1019,Firearms,GR113-125,41,286270,14.3
,"Cherokee County, AL",1019,Other,GR113-126,22,286270,7.7
,"Chilton County, AL",1021,All,GR113-124,79,484168,16.3
,"Chilton County, AL",1021,Firearms,GR113-125,53,484168,10.9
,"Chilton County, AL",1021,Other,GR113-126,26,484168,5.4
,"Choctaw County, AL",1023,All,GR113-124,18,144806,Unreliable
,"Choctaw County, AL",1023,Firearms,GR113-125,13,144806,Unreliable
,"Choctaw County, AL",1023,Other,GR113-126,Suppressed,144806,Suppressed
,"Clarke County, AL",1025,All,GR113-124,42,270824,15.5
,"Clarke County, AL",1025,Firearms,GR113-125,30,270824,11.1
,"Clarke County, AL",1025,Other,GR113-126,12,270824,Unreliable
,"Clay County, AL",1027,All,GR113-124,31,148303,20.9
,"Clay County, AL",1027,Firearms,GR113-125,22,148303,14.8
,"Clay County, AL",1027,Other,GR113-126,Suppressed,148303,Suppressed
,"Cleburne County, AL",1029,All,GR113-124,29,164419,17.6
,"Cleburne County, AL",1029,Firearms,GR113-125,25,164419,15.2
,"Cleburne County, AL",1029,Other,GR113-126,Suppressed,164419,Suppressed
,"Coffee County, AL",1031,All,GR113-124,90,565365,15.9
,"Coffee County, AL",1031,Firearms,GR113-125,74,565365,13.1
,"Coffee County, AL",1031,Other,GR113-126,16,565365,Unreliable
,"Colbert County, AL",1033,All,GR113-124,99,600933,16.5
,"Colbert County, AL",1033,Firearms,GR113-125,74,600933,12.3
,"Colbert County, AL",1033,Other,GR113-126,25,600933,4.2
,"Conecuh County, AL",1035,All,GR113-124,24,138602,17.3
,"Conecuh County, AL",1035,Firearms,GR113-125,18,138602,Unreliable
,"Conecuh County, AL",1035,Other,GR113-126,Suppressed,138602,Suppressed
,"Coosa County, AL",1037,All,GR113-124,23,119089,19.3
,"Coosa County, AL",1037,Firearms,GR113-125,16,119089,Unreliable
,"Coosa County, AL",1037,Other,GR113-126,Suppressed,119089,Suppressed
,"Covington County, AL",1039,All,GR113-124,62,412928,15
,"Covington County, AL",1039,Firearms,GR113-125,43,412928,10.4
,"Covington County, AL",1039,Other,GR113-126,19,412928,Unreliable
,"Crenshaw County, AL",1041,All,GR113-124,23,152887,15
,"Crenshaw County, AL",1041,Firearms,GR113-125,18,152887,Unreliable
,"Crenshaw County, AL",1041,Other,GR113-126,Suppressed,152887,Suppressed
,"Cullman County, AL",1043,All,GR113-124,176,902438,19.5
,"Cullman County, AL",1043,Firearms,GR113-125,102,902438,11.3
,"Cullman County, AL",1043,Other,GR113-126,74,902438,8.2
,"Dale County, AL",1045,All,GR113-124,90,545211,16.5
,"Dale County, AL",1045,Firearms,GR113-125,61,545211,11.2
,"Dale County, AL",1045,Other,GR113-126,29,545211,5.3
,"Dallas County, AL",1047,All,GR113-124,42,445681,9.4
,"Dallas County, AL",1047,Firearms,GR113-125,28,445681,6.3
,"Dallas County, AL",1047,Other,GR113-126,14,445681,Unreliable
,"DeKalb County, AL",1049,All,GR113-124,153,783845,19.5
,"DeKalb County, AL",1049,Firearms,GR113-125,103,783845,13.1
,"DeKalb County, AL",1049,Other,GR113-126,50,783845,6.4
,"Elmore County, AL",1051,All,GR113-124,161,892171,18
,"Elmore County, AL",1051,Firearms,GR113-125,117,892171,13.1
,"Elmore County, AL",1051,Other,GR113-126,44,892171,4.9
,"Escambia County, AL",1053,All,GR113-124,67,412750,16.2
,"Escambia County, AL",1053,Firearms,GR113-125,40,412750,9.7
,"Escambia County, AL",1053,Other,GR113-126,27,412750,6.5
,"Etowah County, AL",1055,All,GR113-124,197,1136103,17.3
,"Etowah County, AL",1055,Firearms,GR113-125,130,1136103,11.4
,"Etowah County, AL",1055,Other,GR113-126,67,1136103,5.9
,"Fayette County, AL",1057,All,GR113-124,41,183938,22.3
,"Fayette County, AL",1057,Firearms,GR113-125,31,183938,16.9
,"Fayette County, AL",1057,Other,GR113-126,10,183938,Unreliable
,"Franklin County, AL",1059,All,GR113-124,54,347533,15.5
,"Franklin County, AL",1059,Firearms,GR113-125,37,347533,10.6
,"Franklin County, AL",1059,Other,GR113-126,17,347533,Unreliable
,"Geneva County, AL",1061,All,GR113-124,47,292749,16.1
,"Geneva County, AL",1061,Firearms,GR113-125,32,292749,10.9
,"Geneva County, AL",1061,Other,GR113-126,15,292749,Unreliable
,"Greene County, AL",1063,All,GR113-124,12,93704,Unreliable
,"Greene County, AL",1063,Firearms,GR113-125,Suppressed,93704,Suppressed
,"Greene County, AL",1063,Other,GR113-126,Suppressed,93704,Suppressed
,"Hale County, AL",1065,All,GR113-124,17,166038,Unreliable
,"Hale County, AL",1065,Firearms,GR113-125,16,166038,Unreliable
,"Hale County, AL",1065,Other,GR113-126,Suppressed,166038,Suppressed
,"Henry County, AL",1067,All,GR113-124,32,189656,16.9
,"Henry County, AL",1067,Firearms,GR113-125,23,189656,12.1
,"Henry County, AL",1067,Other,GR113-126,Suppressed,189656,Suppressed
,"Houston County, AL",1069,All,GR113-124,162,1144938,14.1
,"Houston County, AL",1069,Firearms,GR113-125,113,1144938,9.9
,"Houston County, AL",1069,Other,GR113-126,49,1144938,4.3
,"Jackson County, AL",1071,All,GR113-124,127,576563,22
,"Jackson County, AL",1071,Firearms,GR113-125,100,576563,17.3
,"Jackson County, AL",1071,Other,GR113-126,27,576563,4.7
,"Jefferson County, AL",1073,All,GR113-124,961,7249978,13.3
,"Jefferson County, AL",1073,Firearms,GR113-125,635,7249978,8.8
,"Jefferson County, AL",1073,Other,GR113-126,326,7249978,4.5
,"Lamar County, AL",1075,All,GR113-124,19,154619,Unreliable
,"Lamar County, AL",1075,Firearms,GR113-125,16,154619,Unreliable
,"Lamar County, AL",1075,Other,GR113-126,Suppressed,154619,Suppressed
,"Lauderdale County, AL",1077,All,GR113-124,146,1019861,14.3
,"Lauderdale County, AL",1077,Firearms,GR113-125,96,1019861,9.4
,"Lauderdale County, AL",1077,Other,GR113-126,50,1019861,4.9
,"Lawrence County, AL",1079,All,GR113-124,78,367504,21.2
,"Lawrence County, AL",1079,Firearms,GR113-125,58,367504,15.8
,"Lawrence County, AL",1079,Other,GR113-126,20,367504,5.4
