Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022 Poverty and Median Household Income Estimates - Counties, States, and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release date:  December 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,"40,951,625","40,691,315","41,211,935",12.6,12.5,12.7,"11,582,950","11,449,881","11,716,019",16.3,16.1,16.5,"8,176,725","8,075,849","8,277,601",15.5,15.3,15.7,"74,755","74,607","74,903","3,141,107","3,093,587","3,188,627",17.4,17.1,17.7
01,000,AL,Alabama,"798,469","780,933","816,005",16.2,15.8,16.6,"237,861","228,333","247,389",21.8,20.9,22.7,"165,972","157,610","174,334",20.6,19.6,21.6,"59,703","58,986","60,420","68,982","64,247","73,717",24.4,22.7,26.1
01,001,AL,Autauga County,"6,988","5,522","8,454",11.8,9.3,14.3,"2,151","1,521","2,781",15.7,11.1,20.3,"1,528","1,047","2,009",14.8,10.1,19.5,"70,148","62,906","77,390",.,.,.,.,.,.
01,003,AL,Baldwin County,"30,195","26,604","33,786",12.4,10.9,13.9,"8,093","6,701","9,485",16.1,13.3,18.9,"5,341","4,107","6,575",14.0,10.8,17.2,"71,704","66,180","77,228",.,.,.,.,.,.
01,005,AL,Barbour County,"5,860","4,715","7,005",26.7,21.5,31.9,"1,871","1,383","2,359",37.7,27.9,47.5,"1,244",860,"1,628",33.9,23.4,44.4,"41,151","36,595","45,707",.,.,.,.,.,.
01,007,AL,Bibb County,"3,979","3,190","4,768",20.0,16.0,24.0,"1,084",798,"1,370",25.5,18.8,32.2,805,596,"1,014",25.8,19.1,32.5,"54,309","47,730","60,888",.,.,.,.,.,.
01,009,AL,Blount County,"8,022","6,474","9,570",13.6,11.0,16.2,"2,105","1,469","2,741",15.8,11.0,20.6,"1,513","1,037","1,989",15.2,10.4,20.0,"60,553","53,958","67,148",.,.,.,.,.,.
01,011,AL,Bullock County,"2,670","1,990","3,350",31.5,23.5,39.5,825,567,"1,083",39.0,26.8,51.2,588,395,781,37.3,25.0,49.6,"35,798","31,405","40,191",.,.,.,.,.,.
01,013,AL,Butler County,"4,298","3,419","5,177",23.4,18.6,28.2,"1,360",991,"1,729",33.0,24.1,41.9,"1,007",730,"1,284",33.1,24.0,42.2,"41,852","37,088","46,616",.,.,.,.,.,.
